frequency,place,observation_date,modulation,type_signal,radio_service,affiliation,call_sign
160.8250,Барнаул,29 апреля 2022,NFM,Голос,Сухопутная подвижная,Пожарная служба,"Кордон, номерные и т.д."
446.05625,Барнаул,29 апреля 2022,NFM,Голос,иное (см. комментарий),Охрана (предположительно ТЦ Волна),Имена
151.9500,Ленинградская обл.,27 апреля 2022,NFM,Голос,Сухопутная подвижная,"Железная дорога, станция Луга","Имя-фамилия, номер локомотива"
433.5500,Заринск,25 апреля 2022,NFM,Голос,иное (см. комментарий),Городской Автоканал,Придуманные и по номерам
151.8250,Лиски,26 апреля 2022,NFM,Голос,Сухопутная подвижная,ОАО РЖД,
101.2000,Шимановск,26 апреля 2022,WFM,Голос,Радиовещательная,Радио России,
9.2520,Ясногорск,23 апреля 2022,USB,Голос,Фиксированная,Связь между аэропортами СНГ,"Ассистент, Амба, Амбарчик, Туркменбаши-Центр, Ашхабад-Центр"
145.4250,Иркутская область,21 апреля 2022,NFM,Голос,иное (см. комментарий),Любительская на первичной основе,Не установлены
153.0500,Елец,17 апреля 2022,NFM,Голос,Сухопутная подвижная,РЖД,Не установлены
433.1000,Кисловодск,16 апреля 2022,NFM,Голос,Сухопутная подвижная,Санаторий Виктория,Не установлены
172.5500,Кисловодск,16 апреля 2022,NFM,Голос,Сухопутная подвижная,УГПС,Машук
154.6250,Алматы,12 апреля 2022,цифровая,DMR,Сухопутная подвижная,ДЧС Пожарная Алматы,Хабар
17.4700,Саратов,7 апреля 2022,AM,Голос,Номерная станция,CIS,"E06 ""English Man"""
14.7690,Саратов,7 апреля 2022,USB,Голос,Номерная станция,"Польская внешняя разведка, Agencja Wywiadu, AW","S11 ""Cherta"""
11.1160,Саратов,4 апреля 2022,USB,Голос,Номерная станция,"Польская внешняя разведка, Agencja Wywiadu, AW","S11 ""Cherta"""
6.6200,Москва,31 марта 2022,USB,Голос,Воздушная подвижная,Israeli Air Force,Не установлены
11.6000,Саратов,29 марта 2022,AM,Голос,Радиовещательная,США,The Overcomer Ministry Radio
